onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	1.17702149000252	2	0	0	0	0	0	0	0	0	0	0	0
14	5	0	1	1	2.10178352799267	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	1.94966029201169	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	1.96897724200971	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	4	n/a	n/a	0	1	0	1	1	1	1	1	1	0	1
62	5	1	1	4	1.72291934399982	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	10	1.53255716801505	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	3	1.7569499219826	2	0	0	0	0	0	0	1	0	1	1	1
98	5	1	2	6	1.86209109702031	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	4	1.31130131700775	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	1.76146341799176	1	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	6	1.5943975810078	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	2	1.7639349209785	2	0	1	1	1	1	1	1	1	1	0	1
158	5	1	2	6	1.73323446599534	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	8	1.62933867401443	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	9	1.38440918299602	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	1.60017999101547	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	1.24169743899256	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	2	1.63586640599533	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	2	2.67661103600403	1	1	1	1	0	1	1	1	0	1	1	1
