onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	3	2.25718810409307	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	1.73407531017438	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	1	1.87179395928979	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	6	n/a	n/a	0	0	0	1	0	0	0	0	1	0	0
50	5	1	2	6	3.30768095608801	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	1.20690414402634	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	2.80745500000194	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	n/a	n/a	0	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	2.55895879119635	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	3.62430253298953	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	2.99392411205918	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	1	3.00354721397161	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	3	1.46957120997831	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	1	2	1.95090797217563	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	1.31221863487735	1	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	1.96136854402721	2	0	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	2.24327684100717	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	6	1.90127170737833	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	3.65452030906454	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	10	2.59749931795523	2	1	1	1	0	1	1	1	0	1	1	1
