onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	7	3.07254653563723	1	0	0	0	0	0	0	0	0	0	0	0
14	5	1	2	6	n/a	n/a	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	n/a	n/a	0	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	1.75841583311558	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	3	0.960368778090924	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	1	1.03838343406096	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	2	6	2.07126103993505	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	0	0.976944203022867	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	1.42634669831023	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	9	1.39539592526853	2	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	1.54023812897503	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	6	0.957252887543291	1	0	0	1	1	1	0	1	1	1	1	1
146	5	1	2	8	2.07119938591495	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	6	3.3689795807004	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	1	1.1172965480946	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	2	1.7189248339273	2	0	0	1	1	0	1	0	0	1	1	1
194	5	0	2	8	1.39219678612426	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	3	1.59323042491451	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	2	1.08640469191596	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	2	1.33531130524352	1	1	1	1	0	1	1	1	0	1	1	1
