onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	1.54817486973479	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	2.19586542714387	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	2.41433124663308	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	1.87167960824445	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	1	2.15278971660882	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	4	1.58638662705198	2	0	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	2.53957964107394	1	0	0	0	1	1	0	0	0	0	0	0
86	5	0	2	10	1.94051445927471	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	2.37411483004689	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	1.32674669800326	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	2.57667846418917	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	2.32142540020868	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	1.59454858256504	2	1	1	1	1	1	1	1	1	1	0	1
158	5	1	1	4	1.2120412979275	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	2	0.900901325978339	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	9	1.3175759143196	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	2	1.08759415289387	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	3	1.24010148691013	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	2	1.44986658217385	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	2	8	1.42672175401822	2	1	1	1	0	1	1	1	0	1	1	1
