onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	2.56835893006064	1	0	0	0	0	0	0	0	0	0	0	0
14	5	0	1	3	3.35679056798108	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	4	3.10172893386334	2	0	0	1	1	0	1	1	1	0	1	1
38	5	0	2	9	3.02426945301704	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	4	2.77567172702402	1	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	2	3.4738459829241	2	0	1	0	1	1	1	1	1	1	1	1
74	5	0	2	9	2.03573907795362	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	2	1.61302367807366	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	4	3.27054385398515	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	2.5356723992154	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	6	4.30471153999679	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	8	2.2819085479714	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	2	2.35584845091216	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	7	3.50145042710938	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	2.68688169913366	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	8	2.04817531607114	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	2	4.48932154197246	2	0	1	1	1	1	0	1	0	1	1	1
206	5	0	2	10	2.53664641897194	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	3.3707099610474	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	2	2.48503695009276	1	1	1	1	0	1	1	1	0	1	1	1
