onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	7	2.15336399408989	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	0	2.33016446908005	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	2	2.51667007990181	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	1	4	2.50264099286869	2	0	0	0	1	0	0	0	0	1	0	0
50	5	0	2	8	1.83228436601348	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	3	2.68947679991834	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	1	3.21858221013099	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	6	3.2518825950101	1	0	0	0	0	0	0	1	0	1	1	1
98	5	1	2	8	2.61361822905019	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	4	3.04625199316069	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	1	3	3.09609396895394	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	4.61687071598135	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	2	6	3.34663553000428	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	1	2.83519454696216	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	9	1.75645358115435	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	2	2.28629078506492	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	8	2.14246022491716	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	6	2.50550931412727	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	1.70723213185556	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	2	6	1.94735423498787	2	1	1	1	0	1	1	1	0	1	1	1
