onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	1.36535497754812	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	2.86174498125911	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	2	2.21581159904599	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	2.88881842419505	1	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	4	2.78444472327828	1	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	8	2.83501715585589	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	9	1.59691367670894	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	2	1.82909732684493	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	2.43902438879013	2	0	0	0	0	1	0	1	1	0	1	0
110	5	0	1	2	3.61594488099217	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	2.27444237843156	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	4	2.99510158970952	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	1	2.70029845833778	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	6	2.17360765859485	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	2.67994328588247	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	3	2.28073832392693	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	9	1.02659707516432	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	2.51574399322271	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	2.48444581776857	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	2	2.30871702358127	1	1	1	1	0	1	1	1	0	1	1	1
