onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	2.36927280947566	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	4	1.8684750162065	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	10	n/a	n/a	0	0	1	1	0	1	1	1	0	1	1
38	5	0	2	6	1.79216258972883	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	2	8	2.69758258387446	1	0	1	0	1	1	1	1	1	1	0	1
62	5	0	1	1	2.58697078749537	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	2.3166642524302	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	3	1.69398960471153	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.39043311029673	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	1.47184030339122	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	2	8	1.18391191214323	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	2.14704522490501	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	8	2.46011552959681	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	2	2.77273478358984	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	3.49404977634549	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	1	2	3.31216803193092	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	6	3.6077716499567	1	0	1	1	1	1	0	1	0	1	1	1
206	5	0	1	1	3.92244086042047	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	4	2.97902930900455	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	3.35612946003675	2	0	1	1	0	1	1	1	0	1	1	1
