onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	2.8914893019828	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	1.7640562710003	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	2.54999466601294	2	0	0	1	1	0	1	1	1	0	1	1
38	5	0	1	2	2.42274668195751	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	10	1.93727563298307	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	7	3.63269224495161	1	0	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	1.92435908701736	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	8	2.14858496200759	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	3	2.3012310959748	1	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	2.79823997803032	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	2.93581349303713	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	3.72018115298124	1	0	0	1	1	1	0	1	1	1	1	1
146	5	0	1	4	2.65848860499682	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	9	2.27498226898024	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	4	2.33314126700861	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	2.15756461501587	1	0	0	1	1	0	1	0	0	1	1	1
194	5	0	1	1	3.86322528601158	1	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	2.30347863200586	2	0	1	0	1	0	0	0	0	0	0	0
218	5	0	2	6	3.19409331097268	1	0	0	0	0	0	0	0	0	0	0	1
230	5	1	2	6	2.59495710796909	2	1	1	1	0	1	1	1	0	1	1	1
