onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	9	1.7625070437789	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	7	1.89561973325908	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	3.16845242865384	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	1	1.7682525832206	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	2.10575131326914	1	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	6	1.85316919721663	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	2	1.33422535657883	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	4	2.13588686101139	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	1.4891384895891	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	10	1.38607195578516	2	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	1.88372923247516	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	4	2.68601692095399	2	0	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	2.78253839537501	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	1	0.71256772428751	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	8	1.72165176831186	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	2.65829118713737	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	3	1.55582581274211	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	3	2.9329933617264	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	2.6865364536643	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	6	1.68753840401769	1	0	1	1	0	1	1	1	0	1	1	1
