onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	2.87136418465525	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	4.43220327887684	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	2	3.841862346977	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	4.75497845374048	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	4	3.81989898253232	2	0	1	0	1	1	1	1	1	1	0	1
62	5	1	2	8	3.67829751688987	1	0	1	0	1	1	1	1	1	1	1	1
74	5	0	2	9	4.167421230115	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	2	3.43977112323046	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	4.22581531386822	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	2	4.98756682034582	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	4.39720491971821	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	4	3.9341461006552	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	1	4.39950051158667	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	6	4.85664224345237	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	3.19483728613704	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	3	0.115775618702173	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	9	3.26773817464709	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	2.6203567776829	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	3.40715013351291	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	2	4.22414356470108	1	1	1	1	0	1	1	1	0	1	1	1
