onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	1	1	1.22250111300127	1	1	0	0	0	0	0	1	1	1	1	0	0.66412	1.3982
14	5	1	1	2	1.26423021600021	1	1	0	0	0	0	0	1	0	0	1	1	0.99537	2.2317
26	5	0	2	9	2.28116556500026	2	1	1	1	1	0	1	0	0	0	0	0	0.087628	1.7093
38	5	0	1	2	1.1066300679995	1	1	0	0	0	0	1	1	1	0	1	1	0.99537	2.2317
50	5	1	2	8	0.869196232999457	2	1	0	1	1	1	0	0	0	0	0	0	0.18503	1.2905
62	5	0	2	6	1.43834287299978	1	0	1	0	0	1	1	0	0	1	1	0	0.09873	2.5095
74	5	0	2	9	2.37706792400058	2	1	0	1	1	1	1	0	0	0	0	0	0.18503	1.2905
86	5	1	1	4	1.68081515799895	1	1	0	0	1	0	0	0	1	1	0	0	0.38056	1.4471
98	5	0	1	4	1.76940747200024	1	1	0	1	1	0	1	1	1	0	1	1	0.16209	0.63764
110	5	0	2	10	1.06760323399976	2	1	1	1	1	1	1	0	0	0	0	0	1.0008	1.1283
122	5	0	2	8	2.22645507699963	2	1	1	1	0	0	1	0	0	0	0	0	0.087626	1.7037
134	5	1	2	6	2.72360205999939	2	1	1	1	1	0	1	1	1	1	0	0	0.087266	1.7093
146	5	1	1	2	1.21299690800151	1	1	0	0	1	1	0	1	1	1	1	1	0.087626	1.1077
158	5	0	1	4	1.4238412149989	1	1	0	0	0	0	1	0	1	0	1	0	0.6605	1.3982
170	5	0	1	2	1.07937676499932	1	1	1	0	0	0	0	1	1	0	1	1	0.18407	0.19099
182	5	0	2	7	1.26444627400087	2	1	0	0	1	1	0	0	0	0	0	0	0.057405	0.37728
194	5	0	1	3	2.24965098299981	2	0	1	0	0	0	0	1	1	1	0	0	0.080351	0.13974
206	5	1	2	8	1.45125728099993	2	1	1	0	1	1	1	0	0	0	1	0	0.099173	2.5074
218	5	0	2	7	1.54139995199876	2	1	1	1	1	1	1	1	1	0	1	0	0.57227	0.597
230	5	1	1	4	0.969217931999083	1	1	0	1	0	0	1	1	0	1	0	1	0.099172	1.1634
