onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	2	6	1.12066081599914	1	0	1	0	1	0	1	1	0	0	1	0	0.1259	0.12204
14	5	1	2	6	2.19415047100119	2	1	0	1	1	1	1	1	0	0	1	1	0.08035	1.2604
26	5	0	1	1	1.20231547000003	1	1	0	0	0	0	0	1	1	1	0	1	0.57228	1.4297
38	5	1	1	4	1.50507630399989	2	0	1	0	0	1	0	1	1	0	1	0	0.09917	2.5095
50	5	1	2	8	2.11269080300008	1	0	1	1	1	0	1	0	0	0	0	1	0.067144	1.9957
62	5	0	1	4	1.13334939599918	2	0	1	1	0	1	0	1	1	1	0	1	0.66049	0.54697
74	5	0	1	1	1.52655740699993	1	1	0	0	0	0	0	0	1	1	1	1	1.0008	2.2317
86	5	0	1	3	1.19331189799959	1	1	0	0	0	0	0	1	0	0	0	1	0.56917	1.4297
98	5	1	2	6	1.57622736099984	2	1	1	0	0	1	0	0	0	1	0	0	0.16209	1.981
110	5	0	2	6	1.93813357599902	1	0	0	1	1	0	1	1	1	0	0	0	0.073227	0.60753
122	5	0	1	3	1.30745445899993	1	1	0	0	1	0	0	1	1	0	1	0	0.66049	1.3961
134	5	0	2	7	2.54153419500108	1	0	0	0	1	1	1	0	0	1	0	0	0.057409	0.37728
146	5	1	1	2	2.31798952600002	2	0	1	1	0	0	0	1	1	1	1	1	0.057405	1.7175
158	5	0	2	9	1.48805794999862	2	1	1	0	1	1	1	0	0	0	0	0	0.16293	1.9764
170	5	1	2	8	1.51307988100052	2	1	1	1	0	1	1	0	1	0	0	0	1.0008	1.1326
182	5	0	2	8	1.7389816520008	2	1	1	1	1	1	1	0	0	1	1	0	0.56917	0.597
194	5	0	1	2	1.94664340000054	1	1	0	0	0	1	0	0	1	1	1	1	0.087627	1.1031
206	5	1	1	2	1.37761780399887	1	1	0	0	0	0	1	0	1	1	1	1	1.0008	2.2317
218	5	0	2	10	1.14901963600096	2	1	1	1	1	1	1	0	0	0	0	0	1.0008	1.1283
230	5	0	2	8	1.06994349399974	2	1	1	0	1	1	0	0	0	0	0	0	0.16293	1.9764
