onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	0.122603005031124	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	4	3.06855393399019	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	7	2.50954055297188	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	4	4.91882013401482	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	2.54424846102484	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	8	2.11388731503394	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	2.86744030797854	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	8	1.12394319404848	2	1	0	0	0	0	0	1	0	1	1	1
98	5	1	2	6	1.75037197698839	1	0	0	0	0	1	0	1	1	0	1	0
110	5	1	2	6	0.87887710693758	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	1	1.87914559105411	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	6	3.61021374701522	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	1	1.61218981898855	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	1.67510092700832	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	1.55026662198361	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	2	1.63956412102561	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	3	4.67262907593977	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	10	1.27373085892759	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	1.3554677440552	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	9	3.05223393894266	2	1	1	1	0	1	1	1	0	1	1	1
