onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	3.44868977833539	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	2	2.86948953196406	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	4	3.84789823461324	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	4	3.09682321222499	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	7	3.63352368026972	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	7	2.62037122109905	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	9	1.85338491015136	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	2	2.89494718192145	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	6	3.70474053220823	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	0	n/a	n/a	0	0	1	1	1	0	0	1	1	1	1
122	5	0	1	2	2.45793652487919	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	4	4.84357969276607	1	1	0	1	1	1	0	1	1	1	1	1
146	5	1	2	8	2.05263093672693	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	8	2.82297288998961	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	2	n/a	n/a	0	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	4.75335943792015	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	4	3.9388433219865	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	n/a	n/a	0	1	0	1	0	0	0	0	0	0	0
218	5	0	1	1	3.46934350114316	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	3	3.57367494469509	1	1	1	1	0	1	1	1	0	1	1	1
