onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	1.33173922999413	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	2	2.14916635600093	2	0	1	0	0	0	1	0	0	1	0	1
26	5	1	2	8	2.14239034301136	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	10	2.46768477400474	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	8	2.52293249699869	1	0	1	0	1	1	1	1	1	1	0	1
62	5	1	1	2	1.2774400079943	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	2	2.164728112999	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	1.65341214399086	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	6	4.16694595900481	1	0	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	1.77713287800725	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	3.05776750099903	2	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	2.17120697700011	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	9	2.06000185699668	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	1.72745204299281	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	4	4.68827577099728	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	1.89835054001014	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	2.64344439300476	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	1.46081800499815	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	6	1.56650080700638	1	0	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	2.66221061399847	1	1	1	1	0	1	1	1	0	1	1	1
