onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	4	2.98042698309291	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	2	4.44953931111377	2	0	1	0	0	0	1	0	0	1	0	1
26	5	1	2	6	1.18708327703644	1	0	0	1	1	0	1	1	1	0	1	1
38	5	0	2	9	1.14005410601385	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	6	2.86025351507124	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	2	2.75833346298896	2	0	1	0	1	1	1	1	1	1	1	1
74	5	1	2	8	3.335788652068	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	2	0.968057356891222	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	0.986471907002851	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	2.89075238595251	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	1	1.1215122200083	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	n/a	n/a	0	0	1	1	1	0	1	1	1	1	1
146	5	1	1	4	4.36715418891981	2	0	1	1	1	1	1	1	1	1	0	1
158	5	0	1	0	1.1730265970109	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	4	3.47345019702334	2	0	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	2.226962838904	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	1.19557710294612	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	3.06842615106143	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	3	1.23803691996727	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	3.66303024999797	1	1	1	1	0	1	1	1	0	1	1	1
