onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	0.0637562889605761	1	0	0	0	0	0	0	0	0	0	0	0
14	5	0	1	1	2.27155111299362	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	8	n/a	n/a	0	0	1	1	0	1	1	1	0	1	1
38	5	0	2	6	1.97045636898838	1	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	3	1.90902611403726	2	0	1	0	1	1	1	1	1	1	0	1
62	5	1	2	6	2.25471799308434	1	0	1	0	1	1	1	1	1	1	1	1
74	5	0	1	4	1.63141114299651	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	4	2.17707588791382	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.28261512808967	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	2	1.34956766990945	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	2	1.78243571799248	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	4	1.62217081093695	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	9	1.44676857499871	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	7	2.23287416005041	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	2	n/a	n/a	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	0	1.8755781899672	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	n/a	n/a	0	1	1	1	1	0	1	0	1	1	1
206	5	0	2	7	1.94169845490251	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	2	1.83139720303006	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	1.60905329906382	2	1	1	1	0	1	1	1	0	1	1	1
