onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	0	1.15099742403254	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	6	2.30536466417834	1	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	1	1.03264609514736	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	6	0.796079496853054	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	8	1.61146297701634	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	8	1.50057047698647	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	3	2.15090325917117	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	8	0.753054415108636	2	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	4	1.06622713501565	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	0.857901450013742	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	2	8	0.867605712963268	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	4	1.34198614698835	2	0	0	1	1	1	0	1	1	1	1	1
146	5	0	1	3	2.69549156306311	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	9	0.735155578004196	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	4	1.29026538110338	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	1.41951623000205	2	0	0	1	1	0	1	0	0	1	1	1
194	5	0	2	7	1.10112961195409	1	0	1	1	1	1	0	1	0	1	1	1
206	5	0	2	6	2.78940729494207	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	6	2.11145380302332	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	2	1.89749873685651	2	0	1	1	0	1	1	1	0	1	1	1
