onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	1	1	4	2.527075238002	1	1	0	1	0	0	1	0	0	0	0	0	0.36564	1.8817
14	5	0	1	4	1.20813476201147	2	0	0	0	0	1	1	0	0	0	1	1	0.299	0.82322
26	5	1	2	6	1.68090900400421	1	0	1	0	1	0	1	1	1	1	0	0	0.33324	2.0752
38	5	1	1	4	2.45171132098767	2	0	1	1	0	1	1	0	1	1	1	1	0.30121	1.6946
50	5	0	1	3	1.69957835000241	1	1	1	0	0	0	1	1	1	0	1	0	0.49036	1.9262
62	5	0	2	7	1.04281067400007	2	1	0	1	0	1	0	0	1	1	0	1	0.89793	2.0013
74	5	0	1	2	1.57046023398289	1	1	0	1	1	0	1	1	0	0	1	1	0.33666	1.0944
86	5	1	1	2	1.26888034201693	1	1	1	1	1	0	1	1	1	0	1	1	0.44084	2.0769
98	5	0	1	2	1.1190797080053	1	1	1	1	0	0	1	1	1	1	1	1	0.3614	1.928
110	5	0	2	7	1.59881988001871	1	0	1	0	0	1	0	0	0	1	0	0	0.27489	0.27855
122	5	0	1	4	3.62471972001367	2	0	0	0	1	0	1	1	1	0	1	1	0.27489	0.081055
134	5	0	2	9	1.13062646298204	2	1	0	1	1	1	0	0	1	1	0	0	1.0186	1.8919
146	5	1	2	6	1.58636448500329	2	1	0	1	0	1	0	0	1	1	1	1	0.89793	2.0013
158	5	0	2	6	2.34021029801806	1	0	1	0	1	0	1	0	1	0	0	0	0.44084	0.5464
170	5	0	1	0	2.27300892298808	1	1	1	1	0	0	1	1	0	0	1	1	1.0186	1.8023
182	5	0	2	9	3.20215895801084	1	0	0	0	1	0	0	0	1	1	0	0	0.35354	0.14013
194	5	1	2	8	1.46840410900768	2	1	0	0	1	1	0	0	0	1	0	1	0.49036	1.1362
206	5	0	2	8	1.00742599999649	2	1	0	1	1	1	0	0	1	1	1	0	1.0186	1.8919
218	5	1	1	4	1.32259451699792	1	1	1	0	1	0	0	1	0	1	1	1	0.50925	1.7768
230	5	0	1	1	1.80379811101011	1	1	1	1	0	0	1	1	0	1	1	1	0.69454	1.8023
