onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	1	4	2.75383175100433	1	1	1	1	0	1	1	0	0	0	0	0	0.35354	0.34345
14	5	0	1	0	1.87622499198187	1	1	1	1	0	0	1	1	0	0	1	1	1.0186	1.8023
26	5	0	1	4	3.68609180199564	1	1	0	1	0	0	1	1	1	0	0	0	0.27265	0.083708
38	5	1	2	8	1.22171482699923	2	1	0	0	1	1	0	1	1	1	1	0	1.0186	1.4077
50	5	1	1	2	3.01529458499863	1	1	1	1	0	1	1	1	0	0	1	0	0.35354	1.059
62	5	0	2	7	1.28910109598655	2	1	0	0	0	1	0	0	0	1	0	1	0.44084	1.0663
74	5	1	1	2	2.49056456799735	1	1	0	1	0	0	0	1	0	0	1	1	0.32071	1.4102
86	5	0	2	6	2.44501732700155	2	1	0	0	0	1	1	0	0	1	1	0	0.37506	0.81076
98	5	0	2	9	1.20929857800365	2	1	0	0	1	1	0	0	1	1	1	0	1.0186	1.8919
110	5	1	1	4	3.00095890800003	1	1	0	1	0	0	1	0	0	0	0	0	0.36564	1.8817
122	5	0	1	2	2.42666823501349	1	1	1	1	0	0	1	0	0	0	1	0	1.0186	0.43934
134	5	1	2	8	n/a	n/a	0	0	0	0	1	1	0	1	1	0	0	0.7309	1.9336
146	5	0	1	2	1.39502654600074	1	1	0	1	0	0	1	1	1	0	1	1	0.27265	0.083729
158	5	0	1	3	1.26730767800473	1	1	0	1	1	0	1	1	0	0	0	1	0.33666	1.0944
170	5	0	2	9	4.90066575200763	2	1	0	0	1	1	0	0	1	1	0	1	1.0186	1.8927
182	5	0	2	7	0.878735744016012	2	1	0	1	1	0	0	0	1	0	0	0	0.28922	0.14013
194	5	0	1	1	1.92099182601669	1	1	1	1	1	0	1	1	0	0	1	1	0.89793	1.7889
206	5	1	1	2	0.0917093530006241	2	0	1	1	1	0	1	1	1	0	1	1	0.44084	2.0769
218	5	1	2	6	0.859068593999837	2	1	0	1	0	1	0	0	1	1	1	1	0.89793	2.0013
230	5	0	2	8	3.2297857410158	2	1	0	0	1	0	0	0	1	1	0	1	0.35354	0.13865
