onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	4.59601209685206	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	7	3.07698682602495	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	4	3.89448864199221	2	0	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	3.34397866693325	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	8	3.77041089814156	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	3	4.38746377290227	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	1	3.65426350804046	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	2.56151451915503	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	6	4.9693537671119	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	6	4.15593110001646	2	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	3.98082046094351	2	0	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	4.08213272690773	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	9	2.72412046394311	2	1	1	1	1	1	1	1	1	1	0	1
158	5	1	1	2	2.30054852506146	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	3.86203076806851	2	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	2	2.22222663089633	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	10	3.36035470897332	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	2	8	3.49717078101821	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	4	3.93148230481893	2	0	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	4.66799357999116	2	1	1	1	0	1	1	1	0	1	1	1
