onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	4.52606777986512	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	3.29599265800789	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	4.2005676610861	2	0	0	1	1	0	1	1	1	0	1	1
38	5	1	1	4	3.89153988217004	2	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	1	3.77222289983183	1	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	8	3.06130608310923	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	n/a	n/a	0	0	0	1	1	0	0	0	0	0	0
86	5	0	2	9	3.74361415812746	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	3.28871315484866	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	3.77160054212436	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	6	3.62050004000776	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	4.31720729591325	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	1	3.55809915508144	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	7	3.90363244502805	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	10	3.76117077795789	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	6	3.7548522639554	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	2	4.29290592786856	1	1	1	1	1	1	0	1	0	1	1	1
206	5	1	2	8	4.97131282789633	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	2	3.64462188002653	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	3	3.47080178908072	1	1	1	1	0	1	1	1	0	1	1	1
