onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	2	2.95213386975229	2	0	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	1.80834273062646	1	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	2	n/a	n/a	0	0	1	1	0	1	1	1	0	1	1
38	5	0	1	1	2.04997259378433	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	3	1.89718963950872	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	9	1.58179913461208	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	2	8	1.87146617099643	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	4	2.23314516805112	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	1.39415027573705	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	2	2.04242475144565	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	1.67538866959512	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	6	2.34123422764242	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	4	2.50361040793359	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	9	1.97758572734892	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	2.12908577546477	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	1	2	1.17150532454252	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	7	2.39429801702499	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	1.14966695010662	2	0	1	0	1	0	0	0	0	0	0	0
218	5	1	2	6	1.55089003033936	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	10	1.93655599281192	2	1	1	1	0	1	1	1	0	1	1	1
