onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	2.29371420480311	2	0	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	1.27832362800837	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	1.14479401148856	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	1.40906578861177	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	1	1.00241893902421	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	4	1.01138709299266	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	1.76367425732315	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	10	1.15881217457354	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.74366485141218	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	1.13772832229733	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	2.08187011629343	1	0	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	1.23547904007137	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	1.1488883793354	2	1	1	1	1	1	1	1	1	1	0	1
158	5	1	1	4	1.39031528681517	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	2	1.93652874603868	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	9	1.55369107425213	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	2	1.33063503541052	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	3	1.37894609384239	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	2	1.63761277496815	2	0	0	0	0	0	0	0	0	0	0	1
230	5	1	2	8	1.0867669172585	2	1	1	1	0	1	1	1	0	1	1	1
