onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	2.30345791199943	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	4	2.4550417229766	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	1.9280592869618	2	1	0	1	1	0	1	1	1	0	1	1
38	5	1	1	2	1.88149892399088	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	1	1.41014866495971	1	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	6	1.39700300304685	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	4	1.47023532498861	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	4	1.01553017902188	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.06611357396469	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	1.41109721397515	1	0	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	2.05200371198589	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	3	1.25609946000623	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	2	1.01608593901619	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	1	2	1.12230416800594	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	8	1.28988173202379	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	0	1.02727562002838	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	2	1.06736617500428	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	1.83615031396039	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	1.34199919702951	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	6	1.48809282004368	2	1	1	1	0	1	1	1	0	1	1	1
