onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	1.41754624800524	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	6	1.07545449800091	1	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	1	1.14876345600351	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	9	1.05469451498357	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	4	1.62921332498081	2	0	1	0	1	1	1	1	1	1	0	1
62	5	0	2	8	n/a	n/a	0	1	0	1	1	1	1	1	1	1	1
74	5	0	1	2	1.3749193730182	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	1.92807876400184	1	0	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	1.13767039900995	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	10	1.23013755801367	2	1	0	1	1	1	0	0	1	1	1	1
122	5	1	2	8	1.78286858502543	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	4	1.38400033803191	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	7	2.39435932703782	1	0	1	1	1	1	1	1	1	1	0	1
158	5	0	1	2	1.31511436600704	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	2	1.48488338501193	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	9	1.97456651297398	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	3	3.46410921495408	2	0	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	2.54504593799356	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	7	3.20610137097538	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	4	1.911170573032	1	1	1	1	0	1	1	1	0	1	1	1
