onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	1	2.57208761200309	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	7	3.48562362900702	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	8	0.23134153697174	1	0	0	1	1	0	1	1	1	0	1	1
38	5	0	1	3	3.10866916697705	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	3.60501354397275	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	9	3.76725247397553	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	3.27353204897372	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	3.37352563999593	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	4.16681811399758	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	2	6	0.391205800988246	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	3.31317899102578	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	8	4.27472596301232	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	2	3.03613947797567	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	8	3.33330457797274	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	6	3.08631680597318	1	0	0	0	1	1	0	0	1	0	1	0
182	5	0	2	10	3.30386745801661	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	3.45461883902317	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	6	0.343451305991039	1	0	1	0	1	0	0	0	0	0	0	0
218	5	0	2	6	4.224415366014	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	3	0.441996673005633	2	0	1	1	0	1	1	1	0	1	1	1
