onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	7	1.46697907196358	1	0	0	0	0	0	0	0	0	0	0	0
14	5	0	2	9	1.45310442987829	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	2	3.34358913404867	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	8	2.72906597563997	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	6	2.05028232606128	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	4	2.61997560085729	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	7	1.52517388714477	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	4	2.55881896894425	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	2	6	2.81448941910639	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	4	3.58559788577259	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	3.13054274627939	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	3	2.17087895888835	1	1	0	1	1	1	0	1	1	1	1	1
146	5	1	2	6	n/a	n/a	0	1	1	1	1	1	1	1	1	0	1
158	5	0	1	2	2.43043880024925	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	2	2.83904539374635	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	1.27289441088215	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	1	1.93893314618617	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	1.107712586876	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	9	2.85315301408991	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	4	4.26273346273229	1	1	1	1	0	1	1	1	0	1	1	1
