onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	7	2.69404441211373	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	2	2.17528701503761	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	6	1.60881493194029	2	1	0	1	1	0	1	1	1	0	1	1
38	5	1	1	4	3.0908576590009	2	0	0	0	1	0	0	0	0	1	0	0
50	5	0	2	9	1.25936576304957	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	8	1.48013773094863	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	7	1.91520782606676	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	2.794849276077	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	1.70301038702019	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	4	1.56147745787166	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	1.30642987089232	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	3.94698173110373	2	0	0	1	1	1	0	1	1	1	1	1
146	5	0	1	0	1.355486726854	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	6	1.08479095809162	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	4.11906696902588	2	0	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	4.63908892893232	1	0	0	1	1	0	1	0	0	1	1	1
194	5	0	1	2	3.4429621018935	2	0	1	1	1	1	0	1	0	1	1	1
206	5	0	1	4	2.65991477994248	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	3.34777664998546	2	0	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	3.2914255708456	1	0	1	1	0	1	1	1	0	1	1	1
