onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	1	1	2	1.3736611281056	1	1	1	1	1	1	1	1	0	0	1	1	1.0221	3.6196
14	5	1	2	6	1.03508980991319	2	1	0	1	0	1	0	0	1	1	0	0	1.0221	3.2238
26	5	0	2	8	1.44817371293902	2	1	0	0	0	0	1	0	1	0	0	0	1.0221	3.2155
38	5	0	2	6	2.44318933412433	1	0	1	0	1	0	0	1	0	1	0	0	0.36958	2.1937
50	5	1	1	4	1.47723340988159	2	0	1	0	0	1	1	0	1	1	1	0	0.58299	3.2937
62	5	0	2	7	n/a	n/a	0	0	1	0	0	1	0	0	0	1	0	1.0221	3.2154
74	5	0	1	2	1.13601969880983	1	1	1	1	1	0	0	1	1	1	1	1	1.0221	3.4776
86	5	0	2	9	2.17736126412638	2	1	0	0	0	0	0	0	1	0	0	0	1.0221	3.2155
98	5	0	2	8	3.37144880788401	2	1	0	0	0	0	0	0	0	1	0	1	0.36958	2.4864
110	5	1	1	2	1.0860486140009	1	1	1	1	1	1	0	1	1	1	0	1	1.0221	3.6196
122	5	1	2	8	1.48667449387722	2	1	0	0	1	0	1	0	0	0	0	0	0.59042	2.6187
134	5	0	1	1	1.25667188712396	1	1	1	1	1	1	0	1	1	1	1	1	1.0221	3.6196
146	5	1	2	6	2.56976118311286	1	0	1	0	0	1	1	1	0	0	0	0	0.29843	2.5177
158	5	0	1	3	4.70670751598664	2	0	1	1	0	1	1	1	1	0	1	0	0.29843	2.5177
170	5	0	1	4	2.3796026839409	2	0	0	1	1	1	0	0	1	1	1	0	0.59042	2.5218
182	5	1	2	8	4.11241022916511	2	1	1	0	0	0	0	0	0	1	0	0	0.58299	3.2925
194	5	0	2	6	1.0743019899819	2	1	0	0	1	1	1	0	1	0	0	0	0.59042	2.5218
206	5	0	2	10	1.26460120081902	2	1	0	0	0	0	0	0	0	0	0	0	1.0221	3.2155
218	5	0	1	1	1.8715238510631	1	1	1	0	1	1	1	1	1	1	1	1	1.0221	3.6196
230	5	0	1	3	1.74502134812064	2	0	1	1	0	1	1	0	1	0	1	1	0.29809	2.1196
