onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	3	2.13369278999744	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	3	1.29236685100477	2	0	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	1.04578815196874	2	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	1.67042339395266	1	0	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	1.2886407150072	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	1.71355299901916	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	1	1.50637495401315	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	7	n/a	n/a	0	0	0	0	0	0	1	0	1	1	1
98	5	1	2	8	n/a	n/a	0	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	1.05459854297806	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	2	6	n/a	n/a	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	8	2.10876761400141	1	0	0	1	1	1	0	1	1	1	1	1
146	5	0	1	4	3.47011168103199	2	0	1	1	1	1	1	1	1	1	0	1
158	5	1	2	6	2.58372975501698	1	0	1	0	1	1	0	0	0	0	0	0
170	5	1	1	4	1.67625107499771	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	6	1.1576547040022	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	9	1.31841934198746	1	0	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	1.27218149497639	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	6	1.33713063900359	1	0	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	1.01796031795675	1	1	1	1	0	1	1	1	0	1	1	1
