onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	6	3.5379464160651	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	2	2.29832929745317	2	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	2.19608359225094	2	0	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	2.87742798402905	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	9	2.72640449181199	1	0	1	0	1	1	1	1	1	1	0	1
62	5	1	1	4	2.64906877651811	2	0	1	0	1	1	1	1	1	1	1	1
74	5	0	1	3	2.34540822356939	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	10	1.96088648587465	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	2	2.86711349524558	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	3.46066719666123	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	1.53470265865326	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	8	3.06375278159976	1	0	0	1	1	1	0	1	1	1	1	1
146	5	1	1	4	1.69743298366666	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	2	2.46725315973163	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	4.05227589420974	1	0	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	1.13372740894556	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	1.9493896253407	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	4	1.85686311684549	2	0	1	0	1	0	0	0	0	0	0	0
218	5	1	1	2	1.88220740482211	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	2.21970528736711	2	1	1	1	0	1	1	1	0	1	1	1
