onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	2.13868148066103	1	0	0	0	0	0	0	0	0	0	0	0
14	5	0	2	7	2.82255377620459	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	4	3.35259679146111	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	1	2.78605973161757	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	4.15412214770913	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	6	3.69316879659891	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	2	3.1026643756777	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	3	3.70378460362554	2	0	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	4.21633515879512	1	0	0	0	0	1	0	1	1	0	1	0
110	5	1	2	8	1.72957988642156	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	3	4.53970065712929	2	0	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	4.14713099971414	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	0	2.12639058753848	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	4	3.42299872078001	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	1	2.98431218601763	2	0	0	0	1	1	0	0	1	0	1	0
182	5	0	2	8	3.33855546079576	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	2.05137171782553	1	0	1	1	1	1	0	1	0	1	1	1
206	5	1	1	2	2.52514664456248	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	6	3.41403361223638	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	1.78392789885402	2	1	1	1	0	1	1	1	0	1	1	1
