onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	2	2.24900398100726	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	2	1.88227309996728	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	0	1.3000608739676	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	1.2058581369929	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	3	1.68627551791724	2	0	1	0	1	1	1	1	1	1	0	1
62	5	1	2	6	1.37623241299298	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	1.62522760697175	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	6	1.35406576807145	1	0	0	0	0	0	0	1	0	1	1	1
98	5	0	1	1	1.90784293599427	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	1.66948568006046	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	2	1.64656793489121	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	2	1.48035573505331	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	4	2.59355955896899	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	8	1.58661720901728	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	2.54750058497302	1	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	1.78135482408106	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	2	1.81344534689561	1	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	2.67820467601996	2	0	1	0	1	0	0	0	0	0	0	0
218	5	0	2	9	1.66317312093452	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	9	1.44918641704135	2	1	1	1	0	1	1	1	0	1	1	1
