onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	4.40285439696163	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	1.95694502501283	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	9	1.16561718704179	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	2	1.69417147396598	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	9	1.35223054292146	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	2	1.37854573398363	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	2	1.36680305795744	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	1.14447231998201	2	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	1.10417228506412	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	3.19438593194354	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	2.73953511402942	2	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	10	1.28997651895043	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	2	6	3.48281955393031	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	1.88423259195406	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	6	2.10873049602378	1	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	1	1.25489642901812	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	4	1.86479419202078	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	7	1.04126093303785	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	2	1.61886669299565	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	6	1.89977693499532	2	1	1	1	0	1	1	1	0	1	1	1
