onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	3	1.87113765091635	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	1.40161926706787	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	3.22774418303743	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	10	1.2443577949889	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	1.2286754490342	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	1	1.12616889202036	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	7	1.28808464598842	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	1.51397949294187	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	1.13966201001313	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	2.82864718209021	2	0	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	1.1433578239521	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	3	2.56811131106224	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	1.40132728999015	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	1	2.68149889702909	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	4	2.29152163991239	2	0	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	2.50841472600587	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	9	1.34098264295608	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	2	2.74807554297149	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	6	2.11255400697701	1	0	0	0	0	0	0	0	0	0	0	1
230	5	1	2	6	3.92157576989848	1	0	1	1	0	1	1	1	0	1	1	1
