onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	2	2.06873177003581	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	6	2.20359045895748	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	6	2.52535769401584	1	0	0	1	1	0	1	1	1	0	1	1
38	5	1	1	4	1.55736849398818	2	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	3	2.24817621393595	2	0	1	0	1	1	1	1	1	1	0	1
62	5	1	2	6	0.985421612043865	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	2	8	1.33113745599985	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	2.23753883992322	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	0	1.34124265704304	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	3.57392939704005	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	2	8	1.15338786691427	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	4	2.2018589359941	2	0	0	1	1	1	0	1	1	1	1	1
146	5	0	2	7	1.17964511492755	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	8	1.18780381907709	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	2	1.35666024906095	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	3.54337344598025	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	4	1.38469594391063	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	8	1.68233928096015	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	1	3.4993878059322	2	0	0	0	0	0	0	0	0	0	0	1
230	5	0	2	9	1.49278531607706	2	1	1	1	0	1	1	1	0	1	1	1
