onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	1	3	2.60466385702603	1	1	0	1	0	1	0	0	1	1	1	0	0.29846	0.8263
14	5	0	2	6	0.065460865967907	1	0	1	0	1	0	1	0	1	1	1	0	0.45974	1.7605
26	5	0	2	8	2.40872509405017	2	1	1	0	0	0	1	1	1	1	1	0	0.34402	0.47966
38	5	1	2	6	2.33762669202406	2	1	1	0	1	0	1	0	1	0	0	0	0.45974	1.7614
50	5	0	1	4	1.98001470498275	1	1	1	0	0	1	0	0	0	1	1	0	0.29946	1.1627
62	5	0	1	1	1.28094182600034	1	1	0	1	1	1	1	0	0	1	0	0	0.65657	2.0915
74	5	1	2	6	2.49163932795636	1	0	1	1	0	0	0	1	0	0	0	1	0.45974	2.7077
86	5	1	1	2	0.98417855304433	1	1	0	1	1	1	0	0	1	0	0	0	0.82519	2.5631
98	5	0	2	7	1.96863567800028	2	1	1	0	0	0	1	0	1	1	0	1	1.022	2.0575
110	5	0	1	4	2.48935889796121	2	0	0	1	0	1	0	1	1	0	0	0	0.29846	0.80576
122	5	0	2	10	n/a	n/a	0	1	0	0	0	1	1	1	0	1	1	1.022	2.3253
134	5	1	2	6	2.2843635979807	2	1	0	0	0	1	1	1	1	1	1	0	0.34402	1.1627
146	5	0	1	2	1.81337108201114	1	1	0	0	1	1	0	0	1	1	0	0	0.68653	2.5637
158	5	1	1	2	2.80673429503804	1	1	0	1	1	1	1	0	0	1	1	0	0.65657	2.0915
170	5	0	2	9	1.63278145500226	2	1	1	0	0	0	1	1	0	0	1	1	0.82519	2.3253
182	5	0	2	7	n/a	n/a	0	1	1	0	0	0	1	1	0	1	0	0.29846	0.59634
194	5	1	1	4	n/a	n/a	0	0	1	1	0	0	1	1	1	1	0	0.82519	2.6679
206	5	0	1	2	n/a	n/a	0	0	1	0	1	1	0	0	1	0	0	0.29905	1.0293
218	5	0	2	9	n/a	n/a	0	1	0	0	0	1	1	1	0	0	1	1.022	2.3253
230	5	1	1	4	n/a	n/a	0	0	0	0	1	0	1	0	1	0	1	0.53984	1.8721
