onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	n/a	n/a	0	0	0	0	0	0	0	0	0	0	0
14	5	0	1	2	1.06678452156484	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	1.21320267021656	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	1.75013748183846	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	1.88738185726106	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	8	1.12079615704715	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	1	2.31406977027655	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	1.32433336414397	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	0	1.46173029951751	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	9	0.974089067429304	2	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	2	1.12839436158538	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	1.05700724385679	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	7	1.10622746124864	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	2.53075543791056	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	9	1.4432998560369	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	1.7026333604008	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	6	1.24021842330694	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	0.960620675235987	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	1.27391615137458	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	4	1.12388587556779	2	0	1	1	0	1	1	1	0	1	1	1
