onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	4	2.8848083820194	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	3.31925662991125	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	6	2.54478286101948	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	1	3.24867460795213	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	6	3.27513480605558	1	0	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	2.49874447192997	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	3	2.55871158791706	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	2	2.68690607394092	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	1.65639512101188	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	2.46619792096317	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	3.77900557802059	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	3.13140126492362	1	0	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	2.1878797019599	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	0	3.19854720903095	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	3.07910852099303	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	1	2.51998478395399	2	0	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	4.46592073899228	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	8	3.49039611394983	1	0	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	2.9152086150134	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	2	3.55133108899463	2	0	1	1	0	1	1	1	0	1	1	1
