onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	6	2.10656615905464	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	2	0.971827917965129	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	1.54946512682363	2	0	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	2.42423370201141	1	0	0	0	1	0	0	0	0	1	0	0
50	5	0	2	9	1.34330656309612	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	4	1.68267679191194	2	0	1	0	1	1	1	1	1	1	1	1
74	5	0	1	3	3.12945620692335	2	0	0	0	1	1	0	0	0	0	0	0
86	5	0	2	10	2.17957120900974	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	2	1.14997880789451	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	3.6075848240871	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	1.30449605407193	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	8	1.39445785083808	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	4	1.19589155097492	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	2	0.955487302970141	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	7	1.46736796409823	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	0.951966450782493	1	0	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	2.20066044898704	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	4	1.00235893693753	2	0	1	0	1	0	0	0	0	0	0	0
218	5	1	1	2	1.58708667010069	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	1.37099391687661	1	0	1	1	0	1	1	1	0	1	1	1
