onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	1	1	2	0.629074090975337	1	1	1	1	1	0	0	1	0	0	1	1	1.0366	1.9205
14	5	0	1	2	2.33363364200341	1	1	1	0	0	0	1	0	0	0	1	1	0.44669	0.18354
26	5	1	1	4	1.43977286596783	1	1	1	0	0	1	1	1	1	1	1	1	0.50553	1.9971
38	5	0	2	9	0.86507762799738	2	1	0	0	1	1	0	1	1	1	0	0	0.54798	0.829
50	5	0	2	9	1.73740607197396	2	1	0	0	1	1	0	0	1	1	1	0	0.3883	0.80611
62	5	1	2	8	1.5072402950027	2	1	0	0	1	0	0	0	1	1	0	1	0.90531	2.2623
74	5	1	1	2	1.57895286596613	1	1	1	1	0	0	1	1	1	0	1	0	0.69938	2.0397
86	5	0	2	7	1.09323461801978	2	1	0	1	1	1	1	0	1	1	0	1	0.75594	1.3962
98	5	1	2	8	1.85403323202627	2	1	1	0	1	1	1	0	1	1	0	0	0.88087	1.6692
110	5	1	2	6	1.14469179097796	2	1	0	1	0	1	1	0	1	0	0	0	0.77107	1.645
122	5	0	1	3	1.21727393200854	1	1	0	0	0	1	1	1	0	0	1	1	0.60111	0.78952
134	5	0	1	2	1.23485826299293	1	1	0	1	0	0	1	0	0	0	1	1	0.48656	0.74888
146	5	0	2	6	3.8739559300011	2	1	0	0	0	1	1	0	0	1	1	0	0.39418	0.37064
158	5	0	2	10	1.35731069301255	2	1	0	0	1	1	0	0	1	1	0	0	1.0366	2.2623
170	5	0	1	1	1.54136658797506	2	0	1	1	0	0	1	0	0	0	1	1	0.54798	0.30985
182	5	0	1	4	1.6075291900197	2	0	1	1	1	1	0	1	0	0	0	1	0.38299	0.38245
194	5	0	2	8	1.17666542297229	2	1	0	1	1	0	0	0	1	1	0	0	0.69347	1.3463
206	5	0	2	7	1.40218032500707	2	1	1	1	0	1	0	0	1	1	0	0	0.66367	0.82628
218	5	0	1	4	2.74754773097811	1	1	0	0	0	0	1	1	1	0	1	0	0.48183	0.79266
230	5	1	1	4	2.56304785597604	1	1	0	1	0	1	0	0	0	0	1	1	0.4528	1.6744
