onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	3.96104781329632	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	2.54643661528826	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	n/a	n/a	0	0	1	1	0	1	1	1	0	1	1
38	5	0	1	2	n/a	n/a	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	3	n/a	n/a	0	1	0	1	1	1	1	1	1	0	1
62	5	0	2	10	n/a	n/a	0	1	0	1	1	1	1	1	1	1	1
74	5	0	1	1	n/a	n/a	0	0	0	1	1	0	0	0	0	0	0
86	5	1	1	2	n/a	n/a	0	0	0	0	0	0	1	0	1	1	1
98	5	0	1	3	1.85187396034598	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	8	2.48549124784768	1	0	0	1	1	1	0	0	1	1	1	1
122	5	1	1	2	1.43781389482319	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	3.1760655157268	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	7	2.52152129635215	1	0	1	1	1	1	1	1	1	1	0	1
158	5	1	2	8	2.05051292292774	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	1	1.83474344946444	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	2.38740226440132	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	6	2.38243792578578	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	3.43130140006542	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	4	4.11376329697669	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	6	3.035116834566	1	0	1	1	0	1	1	1	0	1	1	1
