onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	4	n/a	n/a	0	0	0	0	0	0	0	0	0	0	0
14	5	0	2	6	3.36221227794886	1	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	3	n/a	n/a	0	0	1	1	0	1	1	1	0	1	1
38	5	1	1	4	1.90159536711872	2	0	0	0	1	0	0	0	0	1	0	0
50	5	0	2	7	3.56613790243864	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	4	1.59233969636261	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	2	8	4.06483243778348	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	1.37963092885911	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	4	3.62635543569922	1	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	2.43789962679148	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	2.95142333768308	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	9	4.25652645900846	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	2	2.95423908159137	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	8	3.06778332777321	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	6	3.05276196077466	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	0	1.677769664675	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	2	2.58345292508602	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	2	2.83312286622822	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	8	3.12999525666237	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	7	4.24306427314878	2	1	1	1	0	1	1	1	0	1	1	1
